City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2,Bocaiuva,BR,87.8,clear sky,-17.1078,-43.815,Hotel Maxim's
8,Rikitea,PF,77.7,light rain,-23.1203,-134.9692,Pension Maro'i
11,Atuona,PF,80.04,broken clouds,-9.8,-139.0333,Villa Enata
15,Avarua,CK,80.6,moderate rain,-21.2078,-159.775,Paradise Inn
16,Kapaa,US,75.99,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
18,Kimbe,PG,75.38,light rain,-5.5502,150.1429,Kimbe Bay Hotel
19,Buala,SB,79.57,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
20,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Bengkulu,ID,75.99,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Trairi,BR,82.02,scattered clouds,-3.2778,-39.2689,janelas do mar
36,Norsup,VU,79.34,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
37,Cabo San Lucas,MX,82.99,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
40,Sao Joao Da Barra,BR,84.2,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
43,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Biak,ID,75.43,broken clouds,-0.9131,122.8766,Penginapan Kim
46,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Harper,LR,79.79,overcast clouds,4.375,-7.7169,Screensaver
51,Cockburn Town,TC,84.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
53,Ormara,PK,82.0,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
57,Sinnamary,GF,81.99,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
58,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
63,Ejido,VE,79.2,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
65,Hobyo,SO,84.38,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
72,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
83,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
86,Wanning,CN,78.85,overcast clouds,18.8003,110.3967,Paradise Hotel
91,Ouesso,CG,78.96,overcast clouds,1.6136,16.0517,Hôtel ABENI
92,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
97,Makokou,GA,77.32,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
98,Sibolga,ID,76.57,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
102,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
103,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
108,Port Blair,IN,82.06,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
111,Salalah,OM,84.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
112,Sonoita,MX,84.99,clear sky,31.85,-112.8333,Hotel Nora
113,Jayanca,PE,78.8,clear sky,-6.3908,-79.8219,Rancho Santana Horseback Riding
116,Hambantota,LK,78.8,broken clouds,6.1241,81.1185,Bungalow 63
118,Talara,PE,82.4,clear sky,-4.5772,-81.2719,Hostal Oro Negro
119,Arlington,US,79.0,few clouds,32.7357,-97.1081,Days Inn by Wyndham Arlington Six Flags/AT&T Stadium
121,Sabang,ID,82.11,overcast clouds,5.8933,95.3214,Hotel Citra
124,Bubaque,GW,78.44,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
128,Bellview,US,79.0,clear sky,30.4616,-87.315,Hospitality Inn Management Co
131,Bonthe,SL,82.58,light rain,7.5264,-12.505,Bonthe Holiday Village
133,Axim,GH,80.74,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
139,Dingle,PH,76.14,light rain,10.9995,122.6711,SEGAYA PROPERTY
141,Alyangula,AU,77.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
144,Puttur,IN,84.2,light rain,12.7667,75.2167,Hotel Super Tower
148,Faanui,PF,80.85,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Guaratinga,BR,82.4,few clouds,-16.5667,-39.5667,Hotel Caraíva
151,Saint-Pierre,RE,78.8,few clouds,-21.3393,55.4781,Lindsey Hôtel
158,Miracema Do Tocantins,BR,81.32,light rain,-9.5618,-48.3967,Miami Apart Hotel
159,Finschhafen,PG,78.87,moderate rain,-6.6024,147.8681,Cossam Guest House
160,Cedral,MX,83.86,clear sky,23.8,-100.7333,Hotel Rocio
162,Morant Bay,JM,84.2,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
168,Kutum,SD,81.97,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
171,Angoche,MZ,76.64,overcast clouds,-16.2325,39.9086,Guest House HESADA
172,Manaure,CO,89.38,scattered clouds,11.7751,-72.4445,Hotel Palaaima
173,Lazaro Cardenas,MX,85.14,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
176,Upata,VE,90.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
177,Waingapu,ID,76.28,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
178,Guaira,BR,88.59,broken clouds,-20.3183,-48.3106,Hotel do Lago
197,Cozumel,MX,89.6,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
200,Chapada Dos Guimaraes,BR,77.0,light rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
203,Bathsheba,BB,86.0,few clouds,13.2167,-59.5167,Atlantis Hotel
211,Puerto Escondido,MX,86.0,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
214,Riyadh,SA,86.0,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
215,Oistins,BB,86.0,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
217,Tura,IN,77.47,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
223,Valera,VE,84.31,overcast clouds,9.3178,-70.6036,Hotel Camino Real
226,Agua Dulce,MX,86.0,broken clouds,18.1333,-94.1333,Hotel Victoria
227,Probolinggo,ID,80.6,haze,-7.7543,113.2159,RedDoorz @ Panglima Sudirman Probolinggo
228,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
229,Lorengau,PG,79.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
232,Banda Aceh,ID,79.74,broken clouds,5.5577,95.3222,Sulthan Hotel International
235,Kasongo-Lunda,CD,75.83,broken clouds,-6.4667,16.8167,
237,Santa Isabel Do Rio Negro,BR,84.13,overcast clouds,-0.4139,-65.0192,Hotel GSA
249,Las Juntas,MX,82.4,few clouds,19.4167,-104.7,La casa de la Riata
252,Grand Gaube,MU,78.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
254,Luganville,VU,77.67,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
255,Meulaboh,ID,77.0,broken clouds,4.1363,96.1285,Kost Pria
261,Chalchihuites,MX,81.68,overcast clouds,23.4833,-103.8833,Hotel Posada Real
262,Padang,ID,77.77,overcast clouds,-0.9492,100.3543,Mercure Padang
266,Rosario Oeste,BR,78.96,overcast clouds,-14.8361,-56.4275,ARLS Cavaleiros da Fraternidade n°67
270,San Patricio,US,87.8,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
273,Yaan,NG,83.77,broken clouds,7.3833,8.5667,
284,Kasiri,SL,82.31,clear sky,8.9412,-13.1148,
287,Auki,SB,78.48,broken clouds,-8.7676,160.7034,Auki Motel
288,Gat,IL,75.0,clear sky,31.61,34.7642,OlusHome
291,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
302,Bhuban,IN,80.62,overcast clouds,20.8833,85.8333,Sree Ganesh Sweetstall
303,Grand-Santi,GF,81.99,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
309,Guatire,VE,87.8,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
310,Teknaf,BD,78.89,clear sky,20.8624,92.3058,Forestry Guesthouse
311,Licheng,CN,77.0,overcast clouds,23.2955,113.8284,Xincheng Tourism Industry
323,Bahia Honda,CU,86.72,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
328,Fomboni,KM,81.77,moderate rain,-12.28,43.7425,Relais Singani
335,Olimpia,BR,86.0,few clouds,-20.7372,-48.9147,Hotel Savana
338,Marawi,PH,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
339,Anloga,GH,84.2,scattered clouds,5.7947,0.8973,Pin Drop Hotel
340,San Nicolas,PH,75.2,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
342,Kieta,PG,78.1,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
345,Coahuayana,MX,86.0,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
353,Vanimo,PG,75.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
361,Kailua,US,77.0,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
362,Pangoa,PE,87.48,few clouds,-12.1167,-73.0,
369,Bull Savanna,JM,82.9,few clouds,17.8868,-77.5902,Big Red's
374,Umm Lajj,SA,82.94,clear sky,25.0213,37.2685,Moon light Furnished Units
375,Valle De Allende,MX,83.43,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
376,Kavieng,PG,81.28,light rain,-2.5744,150.7967,Nusa Island Retreat
378,Port Antonio,JM,84.2,scattered clouds,18.18,-76.4612,Trident Hotel
382,Barreiras,BR,84.96,light rain,-12.1528,-44.99,Príncipe Hotel
383,Puerto Narino,CO,77.0,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
385,Port Lavaca,US,81.0,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
387,Maumere,ID,79.65,overcast clouds,-8.6199,122.2111,Sylvia Hotel
389,Morondava,MG,78.3,overcast clouds,-20.2833,44.2833,La Case Bambou
390,Penha,BR,78.8,few clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
391,Rio Muerto,MX,82.4,broken clouds,27.4167,-110.2333,
393,Acapulco,MX,86.0,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
394,Boffa,GN,82.72,few clouds,10.1667,-14.0333,Hôtel Niara Belly
397,Praya,CV,75.2,few clouds,14.9215,-23.5087,LT Aparthotel
405,Namatanai,PG,79.2,broken clouds,-3.6667,152.4333,Namatanai Hotel
407,Ewa Beach,US,77.0,clear sky,21.3156,-158.0072,Uncle Junior Robert
408,Blythe,US,84.2,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
415,Toamasina,MG,75.2,light rain,-18.1667,49.3833,Hotel H1
420,Chimaltenango,GT,84.99,scattered clouds,14.6686,-90.8167,Bosque Macadamia
422,Inhambane,MZ,77.0,light rain,-23.865,35.3833,Oceano
430,Sola,VU,75.2,few clouds,-13.8833,167.55,Leumerus Bungalows
435,Kahului,US,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
443,Sao Felix Do Xingu,BR,87.03,few clouds,-6.6447,-51.995,Rio Xingu Camping
448,Luanda,AO,80.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
450,Macaiba,BR,86.0,scattered clouds,-5.8583,-35.3539,Francis Pousada
451,Karratha,AU,76.95,light rain,-20.7377,116.8463,ibis Styles Karratha
453,Chihuahua,MX,82.4,broken clouds,28.5,-106.0,
455,Davila,PH,75.2,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
461,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
465,Yenagoa,NG,80.89,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
467,Conakry,GN,86.0,clear sky,9.538,-13.6773,Riviera Royal Hotel
468,Gamba,GA,78.96,light rain,-2.65,10.0,
471,Bay Saint Louis,US,75.2,clear sky,30.3088,-89.33,The Abode Guest House
473,Bogale,MM,80.98,few clouds,16.2833,95.4,Aung Pin Lel Guest House
478,Manicore,BR,80.6,light rain,-5.8092,-61.3003,Hotel Durval
479,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
484,Trat,TH,80.01,overcast clouds,12.5,102.5,สวนหนิง-อัศ
488,Tamandare,BR,81.79,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
492,Catalina,US,88.0,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
495,Manokwari,ID,78.53,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
497,Riberalta,BO,80.6,moderate rain,-10.9833,-66.1,Hotel Colonial
507,Altamira,BR,89.6,few clouds,-3.2033,-52.2064,Requinte Hotel
508,Cam Ranh,VN,82.4,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
510,Tagusao,PH,79.47,overcast clouds,9.1924,117.8141,Toledo
513,Terenos,BR,75.2,broken clouds,-20.4422,-54.8603,Rancho Pitzer
516,Natal,BR,86.0,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
519,Areado,BR,75.2,clear sky,-21.3586,-46.1456,Afepesp
536,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
541,Rio Verde De Mato Grosso,BR,83.62,moderate rain,-18.9181,-54.8442,Hotel Valência
543,Mahibadhoo,MV,82.99,clear sky,3.7833,72.9667,Omadhoo Inn
546,Kirakira,SB,79.11,scattered clouds,-10.4544,161.9205,SanBiz Lodge
550,Weligama,LK,78.04,few clouds,5.9667,80.4167,Weligama Bay Resort
552,Wajid,SO,81.54,overcast clouds,3.8093,43.2471,xamdihotelresturant114
558,Mapiripan,CO,89.92,broken clouds,2.8892,-72.1256,Monserrate
563,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
565,Fare,PF,81.0,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
568,Paraiso,CR,84.2,few clouds,9.8383,-83.8656,Rinconcito Verde
570,Tel Aviv-Yafo,IL,75.2,clear sky,32.0805,34.7805,Ben Yehuda Apartments
571,Namibe,AO,78.53,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
576,Jalalabad,AF,76.69,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
